,index,citax_2022,citax_ref_2022,citax_ref_2023,citax_ref_2024,citax_ref_2025,citax_ref_2026,citax_ref_2027,citax_ref_2028,citax_ref_2029,citax_ref_2030
0, 0-10n,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0
2, 0-10p,0,0,0,0,0,0,0,0,0,0
3, 10-20,133,133,133,133,133,133,133,133,133,133
4, 20-30,"3,941","3,941","3,941","3,941","3,941","3,941","3,941","3,941","3,941","3,941"
5, 30-40,"9,929","9,929","9,929","9,929","9,929","9,929","9,929","9,929","9,929","9,929"
6, 40-50,"16,771","16,771","16,771","16,771","16,771","16,771","16,771","16,771","16,771","16,771"
7, 50-60,"26,064","26,064","26,064","26,064","26,064","26,064","26,064","26,064","26,064","26,064"
8, 60-70,"40,790","40,790","40,790","40,790","40,790","40,790","40,790","40,790","40,790","40,790"
9, 70-80,"69,209","69,209","69,209","69,209","69,209","69,209","69,209","69,209","69,209","69,209"
10, 80-90,"150,969","150,969","150,969","150,969","150,969","150,969","150,969","150,969","150,969","150,969"
11, 90-100,"1,646,823","1,646,823","1,646,823","1,646,823","1,646,823","1,646,823","1,646,823","1,646,823","1,646,823","1,646,823"
12, ALL,"196,464","196,464","196,464","196,464","196,464","196,464","196,464","196,464","196,464","196,464"
13, 90-95,"371,618","371,618","371,618","371,618","371,618","371,618","371,618","371,618","371,618","371,618"
14, 95-99,"1,144,937","1,144,937","1,144,937","1,144,937","1,144,937","1,144,937","1,144,937","1,144,937","1,144,937","1,144,937"
15, Top 1%,"10,026,791","10,026,791","10,026,791","10,026,791","10,026,791","10,026,791","10,026,791","10,026,791","10,026,791","10,026,791"
