Year,CPI,SALARY,Sales,Other_Income,Cost_of_Goods,Total_Expense,Loss_CF_Prev,Loss_CB_Adj,Add_Bld,Add_Intang,Add_Mach,Add_Others,Add_Comp,Excl_Bld,Excl_Intang,Excl_Mach,Excl_Others,Excl_Comp
2022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
2024,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
2025,1,1,1.282051282,1.282051282,1.282051282,1.282051282,1.282051282,1.282051282,1.282051282,1.282051282,1.282051282,1.282051282,1.282051282,1.282051282,1.282051282,1.282051282,1.282051282,1.282051282
2026,1,1,1.21875,1.21875,1.21875,1.21875,1.21875,1.21875,1.21875,1.21875,1.21875,1.21875,1.21875,1.21875,1.21875,1.21875,1.21875,1.21875
2027,1,1,1.230769231,1.230769231,1.230769231,1.230769231,1.230769231,1.230769231,1.230769231,1.230769231,1.230769231,1.230769231,1.230769231,1.230769231,1.230769231,1.230769231,1.230769231,1.230769231
2028,1,1,1.181818182,1.181818182,1.181818182,1.181818182,1.181818182,1.181818182,1.181818182,1.181818182,1.181818182,1.181818182,1.181818182,1.181818182,1.181818182,1.181818182,1.181818182,1.181818182
2029,1,1,1.157894737,1.157894737,1.157894737,1.157894737,1.157894737,1.157894737,1.157894737,1.157894737,1.157894737,1.157894737,1.157894737,1.157894737,1.157894737,1.157894737,1.157894737,1.157894737
2030,1,1,1.1875,1.1875,1.1875,1.1875,1.1875,1.1875,1.1875,1.1875,1.1875,1.1875,1.1875,1.1875,1.1875,1.1875,1.1875,1.1875
2031,1,1,1.123169977,1.123169977,1.123169977,1.123169977,1.123169977,1.123169977,1.123169977,1.123169977,1.123169977,1.123169977,1.123169977,1.123169977,1.123169977,1.123169977,1.123169977,1.123169977
2032,1,1,1.097412483,1.097412483,1.097412483,1.097412483,1.097412483,1.097412483,1.097412483,1.097412483,1.097412483,1.097412483,1.097412483,1.097412483,1.097412483,1.097412483,1.097412483,1.097412483
